0-3909|2, 3, 353, 335, 396|1589, 2
417-59|1094|1094, 1278, 113, 795, 51, 50, 52, 1242, 796, 1556
418-1740|2435, 2580, 113|113, 1253, 2, 1129, 221, 189, 717, 116, 903, 354
419-2096|154, 32, 1722, 47, 221|47, 1722, 221, 785, 1310, 78, 29, 137, 32, 45
420-1707|1016|68, 206, 1016, 1266, 1413, 64, 1411, 39, 1416, 416
421-1934|171|645, 2777
422-3578|228, 616, 467|1610, 2202, 228
423-1615|1060|1397, 618, 645, 6, 5, 1337, 189, 1473
424-286|107|107, 93, 79, 2590, 204, 428, 254, 45
425-3502|2591, 2106, 1096, 1079|1079, 1096, 2106, 596, 1696, 2591, 298, 402, 401
426-3319|810, 1405, 793|189, 582, 319, 2150
427-2049|2593|1659, 611, 441, 12, 1852, 177, 113, 64, 502, 6
428-3573|107|107, 1029, 1610
429-1731|280|98, 14, 1359, 24, 490, 1441, 1439, 466, 228, 1440
430-109|92, 6, 5|5, 14, 6, 49, 171, 1094, 1060, 2213, 311, 926
431-3796|1094|15, 641, 32, 482, 1554
432-1365|2597|247, 1146, 113, 14, 1088
433-3594|877, 1859|2213, 1633, 2221, 194, 72, 1859, 1832, 894, 582, 2230
434-827|2773, 846, 820|820, 819, 179, 781, 821
435-2085|1188|5, 47, 1702, 572, 542, 1090, 1708, 94, 1698
436-1335|246, 46, 293|47, 49, 542, 1121, 1122, 921, 46
437-1832|228, 1610, 1394|863
438-4040|154, 233, 892, 2755|154, 2755, 233, 892, 1399, 717, 1201, 26, 970, 461
439-242|191, 192, 40, 64|105, 929, 1908, 1032, 1136, 1471, 1808, 189, 319, 2119
440-225|1145|21, 14, 363, 22, 1090, 1698, 64, 479, 84, 497
441-3453|282, 620, 2621, 207, 807|1922, 1597, 837
442-1013|2627, 1678|1677, 938, 1678, 101, 117, 305
443-4356|107, 895, 2632|
444-4354|1434, 2634|
445-3496|2100|2100
446-957|794, 239, 323, 241, 568|913, 568, 1094
447-2393|47|49, 47, 716, 1769, 223, 50, 143
448-971|1094|903, 1045, 290, 1105, 219
449-2787|2, 1578|490, 659, 812, 225, 1356, 1923, 1094
450-764|243, 557|557, 90, 94, 1531, 770, 488, 79, 5, 580, 487
451-2485|1448|1448, 179, 596, 1434
452-3827|2551, 627, 46, 47|46, 627, 2551, 47
453-3909|1589|1589, 2
454-3913|2638|
455-3860|82|641, 48, 79, 2568
456-122|107, 287, 348, 185, 186, 289|184, 186, 185, 107, 289, 201, 287, 348, 47, 649
457-3865|2642|107, 2574
458-2566|85, 2122|2690, 1891, 85
459-3920|184, 107, 1420|264, 1420, 107, 184
460-3481|250, 477, 49|47, 477, 246, 49, 542, 208
461-3877|556, 2582|2582, 107
462-2005|645|26, 35, 645, 206, 6, 39, 253, 1201, 970, 103
463-1329|634, 15|45, 1117, 9, 874, 1119, 2
464-1859|50, 51, 638, 1540|623, 79, 63, 52, 1826, 501, 638, 117, 1240, 796
465-560|32, 823|670, 630, 629, 94
466-546|582, 1829, 1087, 1667, 113, 1060|14, 497, 130, 1350
467-4356|107, 1651, 286|
468-539|1094|623, 61, 404, 2203, 703, 953, 214, 388, 38, 94
469-3926|556, 2536, 906, 171, 2192|
470-873|864, 242, 47|47, 49, 114, 92, 35, 864, 254, 542, 371, 14
471-550|247, 65, 254, 113|247, 64, 254, 113, 542, 1121, 246, 1090, 1695, 1698
472-1392|1094|1094, 409, 732, 635
473-3873|6, 746|2096, 1537, 1094, 1389, 2114
474-3479|49, 463, 47|374, 372, 49, 409, 47, 188, 485
475-109|6, 2658, 5|5, 6, 715, 752, 751, 750, 1665, 753, 311, 926
476-530|1408, 101, 2659, 47|47, 176, 170, 1408, 542, 101
477-1944|1896|1173, 13, 645, 2690, 14, 3646, 154, 5, 970, 3694
478-250|2590, 93|107, 68, 406, 72, 405, 79, 78
479-1601|48, 986, 1656, 84, 457|1332, 509, 1956, 1955, 1148, 48, 1656, 986, 1787, 1037
480-2460|60|68, 60, 1240
481-3908|107|2629, 1142, 107
482-661|85|402, 1079, 952, 1471, 1891, 245, 85, 775, 1394, 103
483-4357|107, 2665, 280, 254, 40, 64, 93|
484-2455|1825, 1376|1822, 1240
485-1011|670, 630|1923, 735, 630, 1667
486-1893|905, 311, 1552|905, 1552, 342, 446, 1210, 659
487-2030|2575|163, 14, 363, 1090, 1631, 1682, 1635
488-569|107, 942, 47|52, 542, 49, 47, 126, 462, 45, 107, 50
489-1215|917, 15, 47|47, 917, 1092, 1096, 1081, 1700, 83, 171, 1698, 208
490-2551|13|13, 1060, 1870, 6, 1343, 308, 144
491-3942|92, 26|791, 26, 64, 732, 2688, 2313
492-1245|815|517, 1387, 815, 634, 94, 1105
493-350|1427|206, 130, 5, 721, 514, 513, 152, 84, 67, 1183
494-1562|1300|1300, 895, 1301, 1297, 189, 1443
495-3950|3690, 487|2698, 2152, 2692, 2785, 378, 45
496-1456|2313, 14, 47|14, 94, 247, 47, 254, 45, 35, 171, 15, 246
497-368|1094|79, 113, 533, 1297, 2174, 2173, 644
498-1961|228, 1046, 94, 863, 498, 1566|228, 863, 1046, 1568, 181
499-3968|2739|
500-4038|181, 2741, 2743|2743, 2748, 2741, 181
501-4028|117, 2741, 2748, 2746, 2742, 3641, 2749|2742, 2746, 2741, 117, 2749, 3641, 2748
502-5|222, 2179|332, 3660, 22, 21, 20, 0, 64, 331, 330, 329
503-361|45, 61, 63, 1427|61, 1427, 63, 45, 72, 6, 524
504-557|599, 547, 47, 5|49, 15, 45, 171, 470, 881, 1060, 1829, 1828, 306
505-234|153, 254, 1357|254, 65, 153, 380, 379, 93, 26, 64, 500, 378
506-3858|154, 2567, 2756, 64|2564, 2567, 335, 353
507-4044|184, 2757, 2759|2759, 2757, 184
508-4043|2758, 2757, 604|604, 2757, 2758
509-1732|65|1442
510-1288|2650|1642, 1644, 1643, 94, 2, 1526, 128, 29, 1378, 556
511-378|79, 406|79, 995, 406, 405, 238, 2637, 78, 1492, 1502
512-4045|107, 511|
513-262|106, 2, 29, 63, 144, 246, 408|408, 2, 49, 62, 106, 122, 4, 410, 188, 107
514-1796|1737, 102|1514, 1513, 15, 498, 703
515-1023|2762, 2763|949, 85, 103, 402, 282, 731, 15, 997, 405, 996
516-311|2130|464, 280, 462, 107, 138, 45, 204, 40, 449, 447
517-349|2764, 725|14, 926, 725, 2779, 2780, 2778, 968, 1094, 1145, 32
518-244|171, 239|732, 2832, 163, 49, 582, 398, 5, 399, 395, 391
519-1640|736, 93|42, 93, 124, 666, 1353
520-3500|403, 52|403, 1096, 2591, 1696
521-3952|655|2692, 2281
522-814|2767|1060, 252, 1142, 852, 354, 803, 802, 32, 510, 782
523-2007|794, 2106|1623, 1622, 79, 51, 50, 2159, 2676, 35, 226, 659
524-1564|1306, 1296, 1307, 1297, 1294|1294, 1297, 1307, 1296, 1306, 1292, 1289, 1301, 1293, 107
525-4052|107, 6, 1294|107
526-3537|130, 6, 14, 5, 1157|2141, 208, 187, 498, 1606
527-140|203, 45, 194, 461, 26|204, 26, 45, 203, 1687, 35, 353, 254
528-4052|107, 1293|107
529-3466|184, 2771, 2074, 939|1094, 1173
530-242|32, 582, 14, 105, 149|105, 149, 14, 582, 1471, 2119, 2118, 32, 189, 319
531-14|49|49, 47, 46, 48, 242, 246, 23, 372, 925, 254
532-3568|2772, 831, 611, 819|2185
533-180|14, 113|113, 14, 587, 6, 5, 264, 263, 186, 118, 106
534-1668|645|5, 6, 85, 189, 1473, 103, 746, 717, 568, 13
535-134|60, 1390, 655, 2829|354, 1390, 1600, 974, 1454, 29, 40, 154, 94, 60
536-4050|2362, 1025, 654, 2058|2770, 2769, 112, 2058, 1029, 2282, 1181
537-1502|973, 494|26, 1232, 64, 973, 93, 494, 42, 477, 78, 67
538-113|29, 1849, 178, 180, 179, 143, 47|47, 542, 179, 49, 374, 622, 888, 178, 126, 29
539-109|6, 645, 14|5, 6, 1060, 925, 926, 14, 171, 311, 477, 49
540-2082|163, 1200, 392|206, 5, 397, 644, 64, 35, 171, 163, 1901, 721
541-167|2776|14, 5, 528, 910, 251, 102
542-4058|2200, 2777|717, 3655, 970, 267, 937, 3692, 239, 1368
543-2420|731|1786, 1667
544-2573|1180, 18, 48, 206|206, 48, 1633, 84, 1069, 79, 1967, 171
545-1815|184, 1523, 29, 79, 213|79, 18, 29, 1517, 1492
546-2632|258, 2, 1356, 29, 859, 340, 1814, 179, 1727, 611, 490, 1756, 686, 313, 660|1923, 1094
547-2610|85, 1921, 2024, 2021|32, 85, 103, 1921, 834, 87, 302, 2021, 1988, 2024
548-767|2778, 2780, 2779|79, 14, 927, 743, 163, 247
549-280|154, 40, 296, 425, 22|22, 296, 108, 316, 315, 85, 348, 425, 317, 40
550-235|206|206, 1798, 64, 1266, 381, 107, 2687, 50, 68, 1413
551-4300|2781, 2782|1424, 3614
552-2489|1854|189, 5, 917, 461, 335, 3692, 85, 239, 1190, 128
553-4355|1854, 14|
554-458|6, 906, 1854, 259|645, 13, 704, 1060, 906, 6, 85, 538, 5, 259
555-3498|2100, 2103|2103, 2100
556-4357|107, 45, 2665, 41, 64, 26, 138|
557-1496|239, 246, 47|47, 423, 970, 1218, 246, 45, 50, 1682, 542, 86
558-4115|1852, 2785, 1853, 2786, 2788, 2787, 1852, 2789|
559-103|469, 1947, 1948|254, 45, 1946, 1947, 49, 167, 64, 453, 889, 93
560-1434|462, 1182, 1339|1182, 462
561-4118|281, 868, 2793|
562-3859|696, 2117, 304|1346, 2565, 2106, 280, 1696, 141
563-4320|2803, 2812, 2804, 2805, 2807|3673, 3672
564-978|179, 266|266, 903, 833, 1158
565-1911|1557, 634|2166, 117, 2163, 2530, 2170, 1558, 1564, 2161
566-3852|2561, 1200|2558, 2561
567-1214|219, 68, 2058|605, 219, 64, 50, 1085
568-541|535, 32, 14|1707, 86, 1698, 14, 32, 497
569-3876|2819, 1763, 2257|512, 638
570-4142|1094|107
571-1052|1403, 487, 994, 3652|994, 91, 90, 1129, 1525, 1667, 188, 214, 94, 987
572-900|961|961, 6, 889, 896
573-2728|1094|1923
574-622|677, 2549, 514|677, 676, 274, 4, 913, 6, 659, 102
575-4149|1094|107
576-4299|8, 2018, 237|3613, 107
577-1016|271, 225, 812, 85, 247, 273, 6, 40, 266, 5, 717|941, 40, 926, 349, 645
578-2082|582, 2822, 2823, 1074|5, 397, 206, 1901, 721, 1960, 398, 163, 171, 1706
579-1187|1094|242, 52, 881, 1556, 26, 45, 794, 469, 254
580-3910|1094|1094, 1434
581-2825|490|1923
582-4354|1448, 2634|
583-1318|60, 224, 1130, 213, 2825, 357|1130, 3649, 655, 2825, 213, 478, 224, 357, 458, 462
584-3472|462, 436, 213, 345|417, 436, 1265
585-3920|184, 2649, 1059|1059, 2649, 184
586-104|1240|47, 143, 50, 168, 49, 107, 117, 1314, 170, 64
587-3472|417|417, 436, 1265
588-1811|519, 634, 64|1389, 498, 703, 519, 728, 1505, 1522, 1508
589-149|1030|49, 372, 1030, 52, 47, 65, 794, 45
590-2525|498, 2519|1862, 582, 457, 1756, 378, 144, 2213, 29
591-1035|85, 45, 958, 808|68, 323, 649, 1607, 141, 2676, 546, 1372, 1370, 798
592-763|2831, 735, 554, 553|553, 988, 511, 659, 712, 735, 1271, 554
593-149|794, 2094, 47|47, 65, 794, 45, 49, 372, 1030, 52
594-3910|663|1434, 1094
595-1788|1094|20, 65, 1114, 1507, 1505
596-3770|2609|2698, 2498, 2718, 2152, 2609, 2213
597-2033|715, 282, 253, 2607, 2116, 376|35, 47, 1039, 1637, 32, 1639, 388, 376, 382, 2116
598-1578|45, 114, 47, 49|49, 2078, 47, 45, 60, 50, 371
599-242|489, 262|105, 1094, 1808, 929, 1908, 1032, 1136, 1471, 189, 319
600-1140|378, 1808, 43|554, 32, 44, 632, 30, 1040, 666, 1043, 968, 1042
601-3930|1094|746, 23, 1212, 6, 1389, 2114
602-2597|128|1923, 361, 1916, 1094
603-388|484|735, 482, 189, 717, 40, 485, 32, 500, 484, 1214
604-681|94, 335, 841, 1201|113, 701, 335, 1094
605-4200|1358, 3028, 3029, 1943, 2002, 3030, 3031, 3032, 2857, 3033, 3034, 3035, 3036|3036, 3035, 3034, 3033, 2857, 3032, 3031, 3030, 2002, 1943
606-4282|1448, 595, 3059, 1943, 1599, 3022, 2982, 3606, 2634, 1598, 3038, 3024|3024, 3038, 1598, 2634, 3606, 2982, 3022, 1599, 1943, 3059
607-2131|3562, 354|342, 446, 905
608-4268|2979, 3019, 1943, 3536, 3537, 3538|3538, 3537, 3536, 1943, 3019, 2979
609-4206|1448, 3059, 1943, 1599, 3022, 3025, 2634, 3024, 3060|3060, 3024, 2634, 3025, 3022, 1599, 1943, 3059, 1448
610-571|789|129, 2582, 556
611-3830|365, 149|365, 149, 15, 411, 364
612-527|163, 395, 5|163, 105, 5, 1808, 1200, 395, 392, 92, 668, 622
613-124|29, 154, 144, 84|144, 29, 1129, 188, 189, 1183, 1297, 2, 1813, 1808
614-3883|3611, 376|280
615-1337|246|47, 373, 308, 800, 542, 219, 49, 128, 94, 629
616-4299|107, 3613|
617-4081|3616, 207|2782, 2781
618-750|1094|2777, 738, 1094, 311, 2601, 65, 1330, 208, 926, 149
619-9|36|24, 746, 6, 36, 4, 964, 963, 26, 35, 34
620-4156|213, 2790|2827, 213, 2826, 2824, 357, 313, 215, 2665
621-2750|1937, 360, 813|1923
622-1758|683, 32, 880, 848|880, 253, 117, 35, 254, 1838, 32, 2626, 620, 2617
623-398|644, 1667|484, 357, 213, 1297, 117, 644, 482, 30, 79, 552
624-4081|3615|2782, 2781
625-1023|3633, 1001, 3634, 3617, 3618, 3619|3640, 3639, 39, 247, 968, 731, 15, 997, 405, 996
626-1000|79|79, 929, 599
627-793|432, 588, 589|163, 759, 755, 1929, 754, 544, 432, 927, 588, 589
628-4303|462, 2746|107
629-697|1667|543, 759, 72, 30, 32, 163, 576
630-823|50, 47, 49|47, 49, 50, 485, 35, 463, 246, 374, 1137, 1139
631-1943|3645|1591, 903, 905
632-1353|14|14, 2213, 1476, 667, 247, 1094, 477, 625, 1631, 717
633-623|313, 189|78, 313, 1931, 659, 1167, 1165, 1139, 484
634-4310|1094|1094
635-3815|254|124, 254, 78, 1354, 42, 26, 179, 484, 500
636-812|1095|2610, 797, 141, 207, 958, 248, 798, 32, 781, 236
637-3931|154, 528|2658, 528, 1094
638-307|59, 92, 145|454, 224, 107, 455, 280, 396, 419
639-347|3648, 1714, 1100, 278, 2463|266, 510, 85, 509, 247, 728, 727, 634, 1094
640-1505|59, 794, 114|47, 114, 794, 1238, 655, 105, 372, 1235, 49, 1769
641-3360|224, 1132, 1130, 213, 357, 221|1130, 2825, 213, 224, 3649, 655, 478, 357, 60, 1968
642-620|45, 159, 160, 47, 49|49, 160, 159, 2518, 1899, 371, 246
643-3360|224, 1130, 689, 213, 2825, 426|1130, 213, 224, 2825, 357, 60, 3649, 655, 478, 221
644-189|1181, 3653|2213, 1129, 2151, 136, 2501, 134, 1032, 1589, 1696, 6
645-330|79, 163, 1384, 1688, 1238|79, 47, 49, 2, 475, 1812, 2078, 409, 171, 508
646-2492|239, 378, 15|378, 94, 1290, 582, 731
647-2506|1040, 745, 156, 1808|1147, 713, 1673, 745
648-1944|1094|1173, 2690, 645, 13, 1094, 1854, 14, 3646, 154, 278
649-2576|6, 13, 926, 676, 1684|1173, 154, 676, 13, 1907
650-1408|144, 1445, 2257|1140, 512, 1139, 635, 1129, 2238, 6, 2213, 29, 136
651-777|889, 914, 6, 755|890, 888, 889, 746, 36, 6
652-3908|224, 440, 85, 3656, 308, 528|2629, 1142, 107
653-770|3657, 1148|1148, 582, 498, 188, 721
654-1023|2773, 1431, 540|1684, 3623, 1882, 3622, 3621, 3620, 3619, 21, 3618, 2300
655-973|517|921, 517, 353, 702, 2756, 1010
656-837|298, 207, 237|838, 806, 237, 65, 837
657-1370|2097|1150, 1916, 1149, 717, 1410, 906, 1404
658-335|22|22, 485, 460, 67, 462, 459, 127, 311, 277
659-22|2, 3, 638, 6, 77, 259|62, 2, 6, 188, 254, 170, 67, 638, 63, 41
660-115|3674|163, 59, 5, 47, 395, 181, 107, 64, 280, 372
661-3886|1094|1094
662-342|154, 270, 108, 40, 425|494, 425, 108, 40, 708
663-3802|560, 64, 26, 167, 1946|26, 64, 1946, 167, 33, 560, 285
664-4328|107|107
665-4327|107|107
666-4328|1240|107
667-3807|2540, 41, 254, 2228, 138|138, 41, 254, 93, 555, 42, 26, 179, 1363
668-4351|462, 213, 89, 357|357, 89, 213, 367, 2665, 2824
669-4357|107, 2665, 41, 64, 26|
670-434|239|573, 1129, 1912, 78, 998, 188, 1808, 1136, 2213, 189
671-398|3677|484, 357, 213, 1297, 117, 644, 482, 30, 79, 552
672-4351|462, 2824, 213, 89, 357|357, 89, 213, 367, 2665, 2824
673-4339|45, 6, 570, 3681, 31, 3679, 3683|3683, 3679, 3681, 570, 107
674-1853|1094|582, 638, 6, 163, 1129, 1912, 188, 432, 29
675-4315|3670, 3294|3294, 3670
676-4339|107, 45, 462, 6, 570, 3681, 31, 3679, 3683|3683, 3679, 3681, 570, 107
677-3319|1123, 1059, 820|189, 582, 319, 2150
678-1057|32, 641, 30, 1128|189, 167, 30, 641, 32, 82, 482, 258
679-1797|1094|189, 582, 319, 1514, 1513, 1521, 1389, 2114
680-1601|1094|1332, 509, 48, 1656, 986, 1787, 1037, 1956, 1955, 1148
681-2333|142, 342, 848, 15|342, 920, 142
682-4303|107|2804, 2746, 462
683-253|29, 277|278, 461, 85, 460, 462, 459, 29, 277, 14, 1884
684-4097|29, 2553, 620, 207, 2361|2782, 2781, 2361, 207, 620, 2553, 29
685-3835|1763, 207, 2612|282, 207
686-3937|107, 1807|2665, 107, 204, 64, 342, 156, 280
687-793|2114, 1389|927, 589, 588, 1443, 432, 755, 759, 1929, 754, 544
688-4358|107, 3684|
689-4356|107, 2631, 2632|
690-4330|107, 224, 6, 1158, 3685, 1580|107, 3678, 396
691-4347|107|2148, 3689, 64, 699, 174, 173
692-4348|341, 85, 1664, 279|174, 279, 1664, 85, 173, 341
693-9|36|24, 963, 26, 36, 463, 659, 27, 512, 4, 35
694-1872|474|79, 735, 1548, 670, 2830, 2831, 1094
695-292|10, 12, 430, 26|26, 64, 430, 12, 2538, 10, 93, 431, 427, 45
696-4047|193, 1130, 221|1130, 3647, 26, 193, 45, 213, 478, 224, 3649, 2825
697-1944|1094|1173, 2690, 645, 13, 1094, 1854, 14, 3646, 154, 278
698-4334|107|221, 49, 48, 224, 1230, 107, 3678, 396
699-4148|107|1094
700-4134|29, 338, 1211, 1192, 1193|1193, 1192, 1211, 338, 29, 2815, 2805, 2814, 2813, 2803
701-3878|247, 1129|14, 5, 188, 247
702-242|3693, 239, 3692, 461, 14, 1534, 717, 189|105, 14, 1094, 929, 1908, 1032, 149, 1136, 1471, 2119
703-4358|107, 18, 6, 5, 1238|
704-4358|107, 794, 18, 42, 5, 1238|
705-4298|107|3613, 107
706-3810|2539, 188|113, 52, 2539, 794, 1037
707-4329|2665, 2826, 213, 357|357, 213, 2826, 462
708-4337|107, 101|239, 142, 107, 3680, 3678, 396
