0-3909|2, 3, 353, 335, 396|1589, 2
411-190|1129|188, 144, 29, 1037, 1129, 968, 717, 272, 270, 2777
412-1353|1915, 1776, 978, 14|14, 2213, 247, 1476, 5, 667, 625, 1094, 477, 717
413-821|35|35, 2213, 6, 102, 833, 49, 47, 477, 512, 2518
414-3789|216, 768|501, 345
415-2368|117, 92, 1734|342, 920, 92, 1275, 48, 142
416-1033|2579|956, 672, 937, 645, 305, 955, 952, 935, 954, 306
417-59|1094|113, 52, 795, 51, 50, 796, 1540, 1242, 1278, 2680
418-1740|2435, 2580, 113|2, 1253, 221, 189, 717, 116, 903, 354, 2630, 3692
419-2096|154, 32, 1722, 47, 221|47, 1722, 221, 785, 1310, 78, 29, 137, 32, 45
420-1707|1016|206, 1016, 1346, 68, 416, 1266, 1699, 47, 498, 35
421-1934|171|2777, 645
422-3578|228, 616, 467|1610, 2202, 228
423-1615|1060|189, 1473, 1397, 618, 645, 6, 5, 1337
424-286|107|93, 79, 428, 254, 45, 204, 2590, 107
425-3502|2591, 2106, 1096, 1079|1079, 1096, 2106, 2591, 298, 402, 401, 596, 1696
426-3319|810, 1405, 793|2150, 189, 582, 319
427-2049|2593|6, 611, 441, 12, 1852, 177, 113, 64, 502, 391
428-3573|107|107, 1029, 1610
429-1731|280|98, 14, 1359, 24, 490, 1441, 1439, 466, 228, 1440
430-109|92, 6, 5|5, 6, 1060, 645, 2213, 926, 311, 1094, 171, 752
431-3796|1094|641, 1554, 500, 556, 15, 32, 482
432-1365|2597|247, 1146, 1088, 113, 14, 1060
433-3594|877, 1859|2213, 1633, 2221, 194, 1859, 72, 1810, 2427, 2230, 1832
434-827|2773, 846, 820|820, 819, 179, 821, 781
435-2085|1188|5, 47, 1702, 572, 542, 1090, 1708, 94, 1698
436-1335|246, 46, 293|47, 921, 46, 49, 542, 1121, 1122
437-1832|228, 1610, 1394|1610, 2605, 228, 863
438-4040|154, 233, 892, 2755|154, 2755, 1399, 233, 717, 1201, 26, 970, 461, 3692
439-242|191, 192, 40, 64|105, 149, 14, 392, 1094, 582, 32, 2119, 2118, 189
440-225|1145|22, 363, 21, 14, 32, 49, 20, 84, 362, 247
441-3453|282, 620, 2621, 207, 807|207, 1922, 1597, 837
442-1013|2627, 1678|938, 1677, 1678, 101, 117, 305
443-4356|107, 895, 2632|
444-4354|1434, 2634|
445-3496|2100|2100
446-957|794, 239, 323, 241, 568|913, 568, 1094
447-2393|47|47, 49, 143, 716, 1769, 223, 50
448-971|1094|903, 290, 1105, 219, 1045
449-2787|2, 1578|1923, 1094, 490, 659, 812, 225, 1356
450-764|243, 557|1094, 5, 487, 488, 3651, 3650, 64, 40, 192, 191
451-2485|1448|596, 1448, 1434, 179
452-3827|2551, 627, 46, 47|46, 627, 2551, 47
453-3909|1589|1589, 2
454-3913|2638|2638
455-3860|82|641, 48, 79, 2568
456-122|107, 287, 348, 185, 186, 289|184, 186, 185, 107, 289, 201, 287, 47, 649, 52
457-3865|2642|2642, 2574, 107
458-2566|85, 2122|85, 2690, 1891
459-3920|184, 107, 1420|184, 264, 1420, 107, 1059, 2649
460-3481|250, 477, 49|47, 477, 246, 49, 542, 208
461-3877|556, 2582|107, 2582
462-2005|645|26, 6, 1201, 970, 103, 335, 3692, 339, 29, 45
463-1329|634, 15|1117, 9, 45, 874, 1119, 2
464-1859|50, 51, 638, 1540|623, 638, 51, 50, 79, 63, 52, 1826, 796, 795
465-560|32, 823|670, 630, 629, 94
466-546|582, 1829, 1087, 1667, 113, 1060|130, 1350, 14, 497
467-4356|107, 1651, 286|
468-539|1094|404, 623, 1009, 29, 61, 2203, 703, 953, 214, 388
469-3926|556, 2536, 906, 171, 2192|2192, 171, 906, 2536, 556
470-873|864, 242, 47|47, 49, 114, 92, 35, 371, 2518, 542, 254, 246
471-550|247, 65, 254, 113|113, 247, 14, 64, 254, 2597, 1090, 1695, 1698, 1582
472-1392|1094|1094, 409, 732, 635
473-3873|6, 746|1389, 2114, 1094, 2096, 1537
474-3479|49, 463, 47|47, 50, 463, 49, 409, 188, 485, 374, 372
475-109|6, 2658, 5|5, 6, 1060, 645, 2213, 926, 311, 1094, 171, 752
476-530|1408, 101, 2659, 47|47, 176, 170, 1408, 542, 101
477-1944|1896|1173, 13, 645, 5, 970, 3694, 103, 6, 3692, 29
478-250|2590, 93|107, 68, 406, 72, 405, 79, 78
479-1601|48, 986, 1656, 84, 457|1956, 1955, 1148, 1787, 1037, 48, 1656, 986, 1332, 509
480-2460|60|68, 60, 1240
481-3908|107|2629, 1142, 107
482-661|85|103, 402, 1394, 575, 1396, 775, 1891, 245, 85, 1471
483-4357|107, 2665, 280, 254, 40, 64, 93|
484-2455|1825, 1376|1240, 1822
485-1011|670, 630|1923, 630, 1667, 735
486-1893|905, 311, 1552|905, 342, 446, 1552, 1210, 659
487-2030|2575|1635, 1682, 163, 14, 363, 1090, 1631
488-569|107, 942, 47|52, 542, 49, 47, 126, 462, 45, 107, 50
489-1215|917, 15, 47|47, 917, 208, 1700, 83, 171, 1698, 1092, 1096, 1081
490-2551|13|13, 1343, 308, 144, 1060, 1870, 6
491-3942|92, 26|791, 2688, 2313, 26, 64, 732
492-1245|815|517, 1387, 815, 634, 94, 1105
493-350|1427|206, 130, 5, 721, 1486, 1494, 1511, 1492, 1183, 514
494-1562|1300|1300, 895, 1301, 1297, 1443, 189
495-3950|3690, 487|2785, 378, 45, 2698, 2152, 2692
496-1456|2313, 14, 47|14, 247, 45, 49, 252, 47, 94, 171, 254, 117
497-368|1094|79, 113, 644, 2174, 2173, 1297, 533
498-1961|228, 1046, 94, 863, 498, 1566|228, 1046, 1568, 181, 863
499-3968|2739|2739
500-4038|181, 2741, 2743|2743, 2748, 2741, 181
501-4028|117, 2741, 2748, 2746, 2742, 3641, 2749|2742, 2746, 2741, 117, 2749, 3641, 2748
502-5|222, 2179|22, 332, 3660, 336, 21, 20, 64, 331, 330, 329
503-361|45, 61, 63, 1427|61, 1427, 63, 45, 72, 6, 524
504-557|599, 547, 47, 5|15, 45, 171, 49, 599, 470, 881, 1060, 1829, 1828
505-234|153, 254, 1357|254, 153, 379, 65, 1353, 380, 377, 93, 26, 64
506-3858|154, 2567, 2756, 64|335, 353, 2564, 2567
507-4044|184, 2757, 2759|2759, 2757, 184
508-4043|2758, 2757, 604|604, 2757, 2758, 319
509-1732|65|1442
510-1288|2650|29, 128, 1378, 556, 1578, 1642, 1644, 1643, 1526, 94
511-378|79, 406|79, 406, 995, 405, 238, 2637, 78, 1492, 1502
512-4045|107, 511|511, 107
513-262|106, 2, 29, 63, 144, 246, 408|408, 2, 49, 62, 106, 122, 4, 410, 188, 144
514-1796|1737, 102|15, 498, 703, 1514, 1513
515-1023|2762, 2763|3620, 3640, 3635, 3634, 3627, 3626, 21, 3618, 23, 3631
516-311|2130|464, 138, 280, 462, 45, 107, 452, 204, 40, 449
517-349|2764, 725|14, 2779, 2780, 2778, 1094, 968, 1145, 1060, 1175, 1640
518-244|171, 239|732, 163, 2832, 1094, 1631, 49, 582, 398, 5, 399
519-1640|736, 93|42, 93, 124, 666, 1353
520-3500|403, 52|403, 1096, 2591, 1696
521-3952|655|655, 342, 2692, 2281
522-814|2767|1060, 252, 1142, 852, 354, 803, 802, 32, 510, 782
523-2007|794, 2106|35, 659, 1094, 2676, 226, 225, 117, 2159, 1623, 1622
524-1564|1306, 1296, 1307, 1297, 1294|1294, 1297, 1307, 1296, 1306, 1301, 1293, 107, 1292, 1289
525-4052|107, 6, 1294|107
526-3537|130, 6, 14, 5, 1157|498, 1606, 2141, 208, 187
527-140|203, 45, 194, 461, 26|204, 26, 45, 203, 35, 353, 1687, 254
528-4052|107, 1293|107
529-3466|184, 2771, 2074, 939|1173, 1094
530-242|32, 582, 14, 105, 149|105, 149, 14, 392, 1094, 582, 32, 2119, 2118, 189
531-14|49|49, 48, 47, 46, 246, 242, 35, 23, 1632, 281
532-3568|2772, 831, 611, 819|179, 335, 32, 154, 2185
533-180|14, 113|113, 14, 1094, 1088, 587, 6, 5, 264, 263, 186
534-1668|645|5, 6, 85, 189, 746, 717, 568, 13, 3692, 103
535-134|60, 1390, 655, 2829|29, 354, 974, 1454, 1390, 60, 189, 2829, 917, 335
536-4050|2362, 1025, 654, 2058|2058, 1029, 2282, 1181, 2770, 2769, 112
537-1502|973, 494|26, 1232, 64, 973, 494, 42, 93, 254, 477, 78
538-113|29, 1849, 178, 180, 179, 143, 47|47, 542, 374, 49, 179, 970, 243, 622, 702, 1119
539-109|6, 645, 14|5, 6, 1060, 645, 2213, 926, 311, 1094, 171, 752
540-2082|163, 1200, 392|5, 206, 397, 64, 35, 171, 163, 3691, 1094, 644
541-167|2776|14, 5, 528, 910, 251, 102
542-4058|2200, 2777|717, 3655, 970, 267, 937, 3692, 239, 1368, 2200
543-2420|731|1667, 1786
544-2573|1180, 18, 48, 206|206, 48, 1633, 84, 1069, 79, 1967, 171
545-1815|184, 1523, 29, 79, 213|79, 18, 29, 1517, 1492
546-2632|258, 2, 1356, 29, 859, 340, 1814, 179, 1727, 611, 490, 1756, 686, 313, 660|965, 1923, 1094
547-2610|85, 1921, 2024, 2021|1921, 2021, 1988, 2024, 402, 1079, 2023, 32, 85, 103
548-767|2778, 2780, 2779|79, 2779, 2778, 163, 247, 14, 927, 743
549-280|154, 40, 296, 425, 22|22, 296, 108, 316, 315, 85, 348, 1257, 110, 1241
550-235|206|206, 64, 1266, 1798, 381, 50, 2687, 395, 68, 1413
551-4300|2781, 2782|3614, 1424
552-2489|1854|189, 5, 917, 461, 335, 3692, 85, 239, 1033, 1190
553-4355|1854, 14|
554-458|6, 906, 1854, 259|645, 906, 1060, 6, 2, 1410, 13, 704, 425, 707
555-3498|2100, 2103|2103, 2100
556-4357|107, 45, 2665, 41, 64, 26, 138|
557-1496|239, 246, 47|1682, 542, 86, 1632, 1698, 47, 423, 970, 1218, 246
558-4115|1852, 2785, 1853, 2786, 2788, 2787, 1852, 2789|2787, 1852, 2789, 2788, 2786, 1853, 2785
559-103|469, 1947, 1948|254, 45, 1946, 1947, 49, 167, 64, 453, 889, 1066
560-1434|462, 1182, 1339|1182, 462
561-4118|281, 868, 2793|2793, 868, 281
562-3859|696, 2117, 304|1346, 2565, 2106, 280, 1696, 141
563-4320|2803, 2812, 2804, 2805, 2807|3673, 3672
564-978|179, 266|266, 903, 1158, 833
565-1911|1557, 634|2170, 2166, 2163, 117, 2530, 2161, 1558, 1564
566-3852|2561, 1200|2558, 2561
567-1214|219, 68, 2058|605, 219, 64, 50, 1085
568-541|535, 32, 14|1707, 86, 1698, 14, 32, 497
569-3876|2819, 1763, 2257|512, 638
570-4142|1094|107, 1094
571-1052|1403, 487, 994, 3652|994, 3652, 487, 1403, 94, 1129, 1525, 64, 40, 192
572-900|961|6, 889, 896, 961
573-2728|1094|1923
574-622|677, 2549, 514|677, 676, 913, 102, 6, 659, 274, 4
575-4149|1094|107, 1094
576-4299|8, 2018, 237|3613, 107
577-1016|271, 225, 812, 85, 247, 273, 6, 40, 266, 5, 717|349, 645, 941, 40, 926
578-2082|582, 2822, 2823, 1074|5, 206, 397, 64, 35, 171, 163, 3691, 1094, 644
579-1187|1094|45, 242, 254, 794, 469, 1556, 26, 52, 881
580-3910|1094|1094, 1434
581-2825|490|1923
582-4354|1448, 2634|
583-1318|60, 224, 1130, 213, 2825, 357|1130, 1423, 3649, 655, 2825, 213, 478, 224, 141, 357
584-3472|462, 436, 213, 345|1265, 417, 436
585-3920|184, 2649, 1059|184, 264, 1420, 107, 1059, 2649
586-104|1240|47, 143, 50, 168, 49, 64, 94, 1314, 170, 107
587-3472|417|1265, 417, 436
588-1811|519, 634, 64|1389, 728, 498, 703, 519, 1505, 1522, 1508
589-149|1030|49, 47, 65, 794, 45, 372, 1030, 52
590-2525|498, 2519|457, 144, 29, 1756, 378, 2213, 1862, 582
591-1035|85, 45, 958, 808|141, 68, 2610, 157, 112, 649, 1607, 323, 2767, 1094
592-763|2831, 735, 554, 553|553, 988, 511, 659, 554, 712, 735, 1271
593-149|794, 2094, 47|49, 47, 65, 794, 45, 372, 1030, 52
594-3910|663|1094, 1434
595-1788|1094|20, 65, 1114, 1507, 1505
596-3770|2609|2609, 2498, 2698, 2718, 2152, 2213
597-2033|715, 282, 253, 2607, 2116, 376|35, 388, 376, 382, 2116, 253, 242, 47, 1039, 1637
598-1578|45, 114, 47, 49|49, 2078, 47, 45, 60, 50, 371
599-242|489, 262|105, 149, 14, 392, 1094, 582, 32, 2119, 2118, 189
600-1140|378, 1808, 43|43, 64, 40, 192, 191, 2568, 2571, 554, 32, 44
601-3930|1094|1389, 2114, 746, 23, 1212, 6
602-2597|128|1094, 965, 1356, 1923, 361, 1916
603-388|484|189, 735, 717, 482, 500, 1356, 1923, 32, 1667, 1005
604-681|94, 335, 841, 1201|113, 1094, 335, 701
605-4200|1358, 3028, 3029, 1943, 2002, 3030, 3031, 3032, 2857, 3033, 3034, 3035, 3036|3036, 3035, 3034, 3033, 2857, 3032, 3031, 3030, 2002, 1943
606-4282|1448, 595, 3059, 1943, 1599, 3022, 2982, 3606, 2634, 1598, 3038, 3024|3024, 3038, 1598, 2634, 3606, 2982, 3022, 1599, 1943, 3059
607-2131|3562, 354|342, 446, 905
608-4268|2979, 3019, 1943, 3536, 3537, 3538|3538, 3537, 3536, 1943, 3019, 2979
609-4206|1448, 3059, 1943, 1599, 3022, 3025, 2634, 3024, 3060|3060, 3024, 2634, 3025, 3022, 1599, 1943, 3059, 1448
610-571|789|2582, 556, 129
611-3830|365, 149|365, 149, 15, 411, 364
612-527|163, 395, 5|163, 105, 5, 392, 92, 395, 1808, 1200, 49, 1214
613-124|29, 154, 144, 84|144, 1129, 188, 29, 2213, 189, 1870, 582, 1037, 409
614-3883|3611, 376|376, 3611, 373, 280
615-1337|246|47, 49, 373, 128, 94, 1240, 629, 59, 308, 800
616-4299|107, 3613|3613, 107
617-4081|3616, 207|2782, 2781
618-750|1094|738, 756, 14, 2784, 1854, 485, 2777, 1094, 2683, 2601
619-9|36|36, 24, 963, 463, 26, 4, 1389, 2114, 746, 6
620-4156|213, 2790|2827, 213, 2826, 2824, 2665, 357, 313, 215
621-2750|1937, 360, 813|965, 1923
622-1758|683, 32, 880, 848|880, 253, 117, 1461, 282, 35, 254, 1838, 32, 2626
623-398|644, 1667|552, 79, 482, 154, 40, 48, 582, 239, 1950, 2764
624-4081|3615|2782, 2781
625-1023|3633, 1001, 3634, 3617, 3618, 3619|3620, 3640, 3635, 3634, 3627, 3626, 21, 3618, 23, 3631
626-1000|79|79, 929, 599
627-793|432, 588, 589|163, 432, 759, 588, 357, 426, 213, 1130, 224, 755
628-4303|462, 2746|107, 2804, 2746, 462
629-697|1667|163, 576, 759, 72, 30, 32, 543
630-823|50, 47, 49|47, 49, 50, 485, 35, 246, 861, 66, 463, 374
631-1943|3645|1591, 903, 905
632-1353|14|14, 2213, 247, 1476, 5, 667, 625, 1094, 477, 717
633-623|313, 189|313, 78, 659, 484, 1931, 1167, 1165, 1139
634-4310|1094|1094
635-3815|254|124, 254, 78, 1354, 42, 26, 179, 484, 500
636-812|1095|797, 141, 2610, 1026, 32, 2770, 2767, 2663, 733, 2153
637-3931|154, 528|1094, 2658, 528
638-307|59, 92, 145|396, 419, 454, 224, 107, 455, 280
639-347|3648, 1714, 1100, 278, 2463|727, 1094, 634, 247, 728, 266, 510, 85, 509
640-1505|59, 794, 114|47, 114, 794, 372, 92, 59, 84, 45, 49, 1769
641-3360|224, 1132, 1130, 213, 357, 221|1130, 213, 224, 357, 2825, 221, 426, 1132, 3649, 655
642-620|45, 159, 160, 47, 49|49, 160, 159, 2518, 1899, 371, 246
643-3360|224, 1130, 689, 213, 2825, 426|1130, 213, 224, 357, 2825, 221, 426, 1132, 3649, 655
644-189|1181, 3653|2213, 144, 40, 1129, 2151, 6, 274, 188, 29, 270
645-330|79, 163, 1384, 1688, 1238|79, 47, 49, 2, 320, 59, 1812, 372, 475, 508
646-2492|239, 378, 15|731, 582, 1290, 378, 94
647-2506|1040, 745, 156, 1808|745, 1673, 1147, 713
648-1944|1094|1173, 13, 645, 5, 970, 3694, 103, 6, 3692, 29
649-2576|6, 13, 926, 676, 1684|676, 13, 1907, 1173, 154
650-1408|144, 1445, 2257|2213, 1129, 1696, 136, 2503, 2502, 134, 63, 1589, 2319
651-777|889, 914, 6, 755|890, 888, 889, 746, 36, 6
652-3908|224, 440, 85, 3656, 308, 528|2629, 1142, 107
653-770|3657, 1148|582, 1148, 498, 188, 721
654-1023|2773, 1431, 540|3620, 3640, 3635, 3634, 3627, 3626, 21, 3618, 23, 3631
655-973|517|921, 517, 353, 2756, 1010, 702
656-837|298, 207, 237|838, 806, 237, 65, 837
657-1370|2097|1150, 906, 1404, 1410, 1916, 1149, 717
658-335|22|485, 22, 127, 311, 277, 460, 67, 462, 459
659-22|2, 3, 638, 6, 77, 259|62, 638, 2, 6, 188, 635, 63, 2213, 41, 64
660-115|3674|163, 181, 5, 47, 59, 107, 395, 64, 280, 50
661-3886|1094|1094
662-342|154, 270, 108, 40, 425|708, 494, 425, 108, 40
663-3802|560, 64, 26, 167, 1946|26, 64, 1946, 167, 33, 560, 285
664-4328|107|107
665-4327|107|107
666-4328|1240|107
667-3807|2540, 41, 254, 2228, 138|138, 41, 93, 254, 555, 42, 26, 179, 1363
668-4351|462, 213, 89, 357|357, 89, 213, 367, 2665, 2824
669-4357|107, 2665, 41, 64, 26|
670-434|239|573, 2213, 1129, 78, 998, 313, 2237, 189, 582, 319
671-398|3677|552, 79, 482, 154, 40, 48, 582, 239, 1950, 2764
672-4351|462, 2824, 213, 89, 357|357, 89, 213, 367, 2665, 2824
673-4339|45, 6, 570, 3681, 31, 3679, 3683|3683, 3679, 3681, 570, 107
674-1853|1094|163, 638, 432, 582, 188, 29, 1129, 1912, 6
675-4315|3670, 3294|3294, 3670
676-4339|107, 45, 462, 6, 570, 3681, 31, 3679, 3683|3683, 3679, 3681, 570, 107
677-3319|1123, 1059, 820|2150, 189, 582, 319
678-1057|32, 641, 30, 1128|189, 167, 30, 641, 32, 82, 482, 258
679-1797|1094|1514, 1513, 1389, 2114, 1521, 189, 582, 319
680-1601|1094|1956, 1955, 1148, 1787, 1037, 48, 1656, 986, 1332, 509
681-2333|142, 342, 848, 15|342, 920, 142
682-4303|107|107, 2804, 2746, 462
683-253|29, 277|278, 29, 461, 277, 14, 1884, 5, 656, 254, 30
684-4097|29, 2553, 620, 207, 2361|2361, 207, 620, 2553, 29, 2782, 2781
685-3835|1763, 207, 2612|282, 207
686-3937|107, 1807|2665, 107, 204, 64, 342, 156, 280
687-793|2114, 1389|163, 432, 759, 588, 357, 426, 213, 1130, 224, 755
688-4358|107, 3684|
689-4356|107, 2631, 2632|
690-4330|107, 224, 6, 1158, 3685, 1580|107, 3678, 396
691-4347|107|3689, 2148, 64, 699, 174, 173, 3687
692-4348|341, 85, 1664, 279|174, 279, 1664, 85, 173, 341
693-9|36|36, 24, 963, 463, 26, 4, 1389, 2114, 746, 6
694-1872|474|1548, 670, 735, 1094, 2830, 2831, 79
695-292|10, 12, 430, 26|26, 64, 430, 12, 2538, 10, 93, 431, 427, 45
696-4047|193, 1130, 221|1130, 3647, 213, 478, 224, 357, 26, 193, 45, 3649
697-1944|1094|1173, 13, 645, 5, 970, 3694, 103, 6, 3692, 29
698-4334|107|221, 49, 48, 224, 1230, 107, 3678, 396
699-4148|107|1094
700-4134|29, 338, 1211, 1192, 1193|189, 917, 898, 461, 3692, 239, 1193, 1192, 1211, 338
701-3878|247, 1129|5, 188, 247, 14
702-242|3693, 239, 3692, 461, 14, 1534, 717, 189|105, 149, 14, 392, 1094, 582, 32, 2119, 2118, 189
703-4358|107, 18, 6, 5, 1238|
704-4358|107, 794, 18, 42, 5, 1238|
705-4298|107|3613, 107
706-3810|2539, 188|113, 1037, 52, 2539, 794
707-4329|2665, 2826, 213, 357|357, 213, 2826, 462
708-4337|107, 101|239, 142, 107, 3680, 3678, 396
